imo,vesteu
9593684,1000-4000
9594456,0-250
9594470,1000-4000
9597484,8000-12000
9597501,8000-12000
9597513,8000-12000
9597549,8000-12000
9604172,8000-12000
9604811,0-250
9606326,16000-30000
9612296,0-250
9612533,0-250
9612870,8000-12000
9612882,8000-12000
9615638,0-250
9617296,0-250
9618290,8000-12000
9618305,8000-12000
9618616,0-250
9619385,4000-8000
9619440,8000-12000
9619476,8000-12000
9619907,16000-30000
9619919,16000-30000
9619921,16000-30000
9619933,16000-30000
9619945,16000-30000
9619957,16000-30000
9619969,16000-30000
9619971,16000-30000
9619995,16000-30000
9620619,1000-4000
9622019,4000-8000
9622203,8000-12000
9622215,8000-12000
9622227,8000-12000
9622239,8000-12000
9622241,8000-12000
9622253,8000-12000
9623219,0-250
9623661,4000-8000
9624823,0-250
9624835,0-250
9625229,0-250
9628128,0-250
9629380,4000-8000
9629419,250-1000
9631113,1000-4000
9631876,4000-8000
9631955,16000-30000
9631967,12000-16000
9631979,12000-16000
9631981,12000-16000
9631993,12000-16000
9632002,12000-16000
9632014,12000-16000
9632026,12000-16000
9632064,16000-30000
9632090,16000-30000
9632105,16000-30000
9632117,16000-30000
9632129,16000-30000
9632131,16000-30000
9632155,16000-30000
9632167,16000-30000
9632179,16000-30000
9632208,8000-12000
9632210,8000-12000
9633939,8000-12000
9633941,8000-12000
9633965,8000-12000
9635640,4000-8000
9639464,0-250
9642564,0-250
9642576,0-250
9647473,16000-30000
9649196,0-250
9656498,0-250
9663738,0-250
9665592,12000-16000
9665607,12000-16000
9665619,12000-16000
9665633,12000-16000
9665645,12000-16000
9667150,12000-16000
9667162,12000-16000
9667174,12000-16000
9667485,0-250
9667497,0-250
9669926,0-250
9670119,1000-4000
9676709,1000-4000
9684110,0-250
9684641,12000-16000
9684689,12000-16000
9687564,8000-12000
9689615,12000-16000
9690092,1000-4000
9690107,1000-4000
9692258,0-250
9694414,1000-4000
9694438,1000-4000
9695016,8000-12000
9695121,16000-30000
9695133,16000-30000
9696668,0-250
9699127,8000-12000
9699189,8000-12000
9699270,0-250
9700392,250-1000
9702065,8000-12000
9702089,8000-12000
9702091,8000-12000
9702132,16000-30000
9702144,16000-30000
9702156,16000-30000
9703411,0-250
9704611,12000-16000
9704623,12000-16000
9704960,8000-12000
9704972,8000-12000
9705005,8000-12000
9705720,0-250
9706190,8000-12000
9706205,8000-12000
9706889,16000-30000
9706891,16000-30000
9706906,16000-30000
9707742,0-250
9707845,0-250
9708382,4000-8000
9708473,12000-16000
9708784,12000-16000
9708801,12000-16000
9708813,16000-30000
9708825,16000-30000
9708851,16000-30000
9708863,16000-30000
9708875,16000-30000
9709128,0-250
9709192,1000-4000
9709207,1000-4000
9709219,1000-4000
9710426,8000-12000
9712321,0-250
9715713,0-250
